institution_name,category,status,revocation_date,receiver,legal_basis,source_document
KINGDAVE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KINGSBRIDGE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KKA EMPIRE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KWAHU MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LAKE VIEW MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LEGEND MICROFINANCE CO. LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LIBERTY DMI MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LIBERTY TRUST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LJ CASHPLUS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LLOYDS CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MACE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MASADAR MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MELBOND MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MERIDIAN MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MICAID MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MOP MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MULTI MONEY MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MULTIBILITY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NAS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NATIONWIDE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NEW BUSINESS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NEW IMAGE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NEW WAYS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NKOSUO MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NO. 1 MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
OFS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
OPTIMAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
OSOMUFO MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
OVAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PARAGON MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PATHWAY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PEARLHOUSE GHANA MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PEESAM MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PEREBRIM MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PLANET MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PLANTERS CAPITAL MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PRIME GUARANTY FSL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PRIMECREDIT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PRIMUS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PROF MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PROGRESSIVE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PRONTO MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PROSEED MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
PURPOSE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
Q-STAR INVESTMENTS & MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
